epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1226.93,0.45855,0.45059,0.90656,0.97852,0.98694,0.99426,0.92562,0.38447,0.34022,0.83049,0.000742625,0.000742625,0.000742625
43,1255.46,0.45946,0.44363,0.89774,0.97523,0.98741,0.99435,0.92405,0.35908,0.33427,0.81731,0.00073025,0.00073025,0.00073025
44,1284.42,0.45892,0.43372,0.91123,0.98901,0.9855,0.99413,0.92767,0.37062,0.33955,0.82169,0.000717875,0.000717875,0.000717875
45,1312.66,0.44611,0.42923,0.9117,0.98739,0.98652,0.99336,0.9164,0.36799,0.34727,0.82414,0.0007055,0.0007055,0.0007055
46,1341.87,0.46464,0.43088,0.91265,0.98738,0.99476,0.99408,0.91911,0.35458,0.32883,0.81423,0.000693125,0.000693125,0.000693125
47,1370.29,0.43841,0.40887,0.89367,0.98597,0.98707,0.99461,0.92235,0.37145,0.33072,0.82388,0.00068075,0.00068075,0.00068075
48,1400.51,0.4364,0.4153,0.89977,0.98277,0.98871,0.99409,0.93639,0.36581,0.33342,0.81944,0.000668375,0.000668375,0.000668375
49,1429.02,0.43948,0.40479,0.89017,0.98195,0.99211,0.99443,0.93109,0.35739,0.32712,0.81898,0.000656,0.000656,0.000656
50,1458.46,0.43564,0.39788,0.89615,0.97636,0.9887,0.9944,0.92378,0.35541,0.3247,0.81901,0.000643625,0.000643625,0.000643625
51,1487.04,0.41965,0.39148,0.88581,0.98803,0.98341,0.9946,0.91875,0.36698,0.32113,0.82068,0.00063125,0.00063125,0.00063125
52,1515.02,0.44013,0.3994,0.91094,0.98828,0.98646,0.99474,0.9253,0.36172,0.30725,0.81869,0.000618875,0.000618875,0.000618875
53,1543.05,0.44553,0.40897,0.89855,0.9839,0.97691,0.99464,0.92663,0.35567,0.31673,0.81776,0.0006065,0.0006065,0.0006065
54,1572.02,0.42434,0.39921,0.90225,0.98913,0.98393,0.99456,0.94123,0.34274,0.31204,0.81218,0.000594125,0.000594125,0.000594125
55,1602,0.42514,0.39974,0.89642,0.9837,0.98635,0.99457,0.9194,0.34982,0.30281,0.81247,0.00058175,0.00058175,0.00058175
56,1630.81,0.42196,0.3836,0.8858,0.97902,0.98775,0.99461,0.93979,0.34167,0.29498,0.81269,0.000569375,0.000569375,0.000569375
57,1660.28,0.40647,0.37229,0.88149,0.98612,0.99226,0.99456,0.92629,0.33868,0.30004,0.81136,0.000557,0.000557,0.000557
58,1689.14,0.40977,0.37845,0.89955,0.98573,0.99007,0.99456,0.94585,0.3243,0.30072,0.80642,0.000544625,0.000544625,0.000544625
59,1717.21,0.41371,0.37858,0.88585,0.98241,0.98188,0.99408,0.94827,0.32971,0.30259,0.80891,0.00053225,0.00053225,0.00053225
60,1746.3,0.42812,0.38268,0.88674,0.98271,0.98874,0.99437,0.94302,0.33125,0.30823,0.8104,0.000519875,0.000519875,0.000519875
61,1775.48,0.39136,0.36473,0.87158,0.98509,0.98378,0.99414,0.93566,0.33235,0.29723,0.80963,0.0005075,0.0005075,0.0005075
62,1804.11,0.39602,0.36239,0.87706,0.99129,0.97826,0.99357,0.94487,0.32583,0.28942,0.81019,0.000495125,0.000495125,0.000495125
63,1832.79,0.39675,0.36607,0.89394,0.96795,0.98716,0.99367,0.9376,0.32742,0.29328,0.80986,0.00048275,0.00048275,0.00048275
64,1861.26,0.39527,0.36621,0.88421,0.9588,0.99503,0.99383,0.92655,0.33326,0.29753,0.81088,0.000470375,0.000470375,0.000470375
65,1891.69,0.39227,0.35788,0.87398,0.9689,0.99597,0.99379,0.93689,0.34485,0.30656,0.81496,0.000458,0.000458,0.000458
66,1920.5,0.38766,0.34784,0.87576,0.96584,0.99338,0.99368,0.94296,0.31344,0.29436,0.80847,0.000445625,0.000445625,0.000445625
67,1951.05,0.39365,0.35355,0.88362,0.97302,0.99285,0.99348,0.93465,0.3267,0.28908,0.81134,0.00043325,0.00043325,0.00043325
68,1986.6,0.38301,0.34927,0.88092,0.99058,0.98981,0.9945,0.94623,0.30789,0.28175,0.80369,0.000420875,0.000420875,0.000420875
69,2017.15,0.38905,0.35144,0.87825,0.98578,0.98887,0.99443,0.94054,0.31687,0.28714,0.80703,0.0004085,0.0004085,0.0004085
70,2047.8,0.4024,0.35643,0.88066,0.97537,0.99176,0.99424,0.9364,0.31514,0.29119,0.80572,0.000396125,0.000396125,0.000396125
71,2075.84,0.36288,0.33455,0.8682,0.98213,0.98683,0.99429,0.93213,0.31222,0.28333,0.80228,0.00038375,0.00038375,0.00038375
72,2103.14,0.36097,0.33586,0.86713,0.9816,0.99325,0.9944,0.94322,0.30971,0.27986,0.80294,0.000371375,0.000371375,0.000371375
73,2131.74,0.37661,0.34338,0.87564,0.9879,0.99338,0.99458,0.94564,0.31714,0.28383,0.80544,0.000359,0.000359,0.000359
74,2160.63,0.3656,0.33726,0.86915,0.9839,0.9893,0.99429,0.94618,0.32058,0.28877,0.80591,0.000346625,0.000346625,0.000346625
75,2190.22,0.36752,0.3277,0.86465,0.97982,0.99268,0.99376,0.94681,0.30972,0.28082,0.80293,0.00033425,0.00033425,0.00033425
76,2220.07,0.3619,0.3329,0.88017,0.9826,0.98627,0.99399,0.94465,0.30689,0.27958,0.79961,0.000321875,0.000321875,0.000321875
77,2249.55,0.3828,0.34633,0.89373,0.98259,0.99266,0.99429,0.95486,0.302,0.27211,0.79797,0.0003095,0.0003095,0.0003095
78,2278.36,0.36782,0.33619,0.87492,0.98657,0.98675,0.99462,0.95693,0.29925,0.26727,0.79965,0.000297125,0.000297125,0.000297125
79,2307.97,0.36108,0.32578,0.86007,0.98696,0.99338,0.99469,0.95424,0.31076,0.26596,0.80381,0.00028475,0.00028475,0.00028475
80,2338.76,0.36086,0.32388,0.86449,0.98795,0.99338,0.9946,0.94547,0.29854,0.26687,0.79713,0.000272375,0.000272375,0.000272375
81,2367.48,0.3695,0.32568,0.87858,0.98932,0.99099,0.99479,0.947,0.29565,0.26195,0.79975,0.00026,0.00026,0.00026
82,2396.8,0.35516,0.32431,0.86818,0.98421,0.98871,0.99476,0.94655,0.29768,0.26303,0.80028,0.000247625,0.000247625,0.000247625
83,2424.84,0.36481,0.33207,0.87457,0.9873,0.98984,0.99474,0.94533,0.29603,0.25449,0.79852,0.00023525,0.00023525,0.00023525
84,2454.6,0.3649,0.33005,0.879,0.99107,0.99138,0.99484,0.95841,0.29533,0.25763,0.79895,0.000222875,0.000222875,0.000222875
85,2482.95,0.35232,0.31497,0.86775,0.99036,0.99197,0.99487,0.96044,0.29311,0.25593,0.79782,0.0002105,0.0002105,0.0002105
86,2510.33,0.35272,0.32213,0.86761,0.99045,0.99194,0.99485,0.94737,0.30052,0.25424,0.7968,0.000198125,0.000198125,0.000198125
87,2540.61,0.34875,0.31329,0.85957,0.98874,0.99338,0.99484,0.95672,0.29041,0.24901,0.79593,0.00018575,0.00018575,0.00018575
88,2571.4,0.34758,0.31046,0.86462,0.9903,0.98841,0.99488,0.94909,0.28925,0.24846,0.79661,0.000173375,0.000173375,0.000173375
89,2601.3,0.34357,0.31048,0.86326,0.99192,0.98914,0.99489,0.9531,0.2855,0.24601,0.79603,0.000161,0.000161,0.000161
